ObservationId,MediaId,Vote,Content,ClassId,Family,Genus,Species,Author,Date,Location,Latitude,Longitude,YearInCLEF,ObservationId2014,ImageId2014,LearnTag
21782,1,2.5,Entire,5810,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,georges olioso,2013-3-21,La Palme,42.98235,3.01486,PlantCLEF2014,5581,12939,Train
37497,2,3,Flower,780,Asteraceae,Erigeron,Erigeron karvinskianus DC.,herve goeau,2012-11-26,St Leu Les brules de St Leu,-21.10527,55.38092,PlantCLEF2015,,,Train
15234,3,2,Entire,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,jean-luc gorremans,2011-8-8,Pralognan-la-Vanoise,45.39318,6.70084,PlantCLEF2014,7065,20901,Train
16327,5,2.5,Leaf,112,Apiaceae,Bupleurum,Bupleurum fruticosum L.,genevieve botti,2012-7-25,Marseille,,,PlantCLEF2014,10051,50761,Train
11372,7,3,Entire,2703,Euphorbiaceae,Euphorbia,Euphorbia flavicoma DC.,liliane roubaudi,1998-5-21,Tuchan,,,PlantCLEF2015,,,Train
16018,8,3,Entire,6476,Orchidaceae,Neottia,Neottia ovata (L.) Bluff & Fingerh.,jean-jacques houdre,2012-5-9,La Canourgue,44.4425,3.23861,PlantCLEF2014,14613,686,Train
31741,9,3,Entire,173,Apiaceae,Eryngium,Eryngium maritimum L.,bertrand bui,2011-6-23,Martigues,43.39292,5.33575,ImageCLEF2013,7375,25822,Train
11786,10,3,Entire,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,fabienne paire,2014-8-22,Saint-Pierre-de-Chartreuse,45.34137,5.81565,PlantCLEF2015,,,Train
10533,11,2,Leaf,576,Asteraceae,Cyanus,Cyanus segetum Hill,mathieu sinet,1800-1-1,Montfa,43.70901,2.25134,PlantCLEF2014,11276,57930,Train
20736,13,1,Stem,14841,Fabaceae,Trifolium,Trifolium subterraneum L.,marie portas,2013-5-24,Saint-Gineis-en-Coiron,,,PlantCLEF2015,,,Train
